comparison,table,metric,population,lhs_mean,rhs_mean,difference,n_datasets_expected,n_datasets_valid,dataset_coverage,included_datasets,valid_datasets,status,n_batches_total,n_batches_expected,n_batches_valid,batch_coverage,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,n_lhs_seeds_paired,n_rhs_seeds_paired,valid_batches,reason
sclsc30_minus_sclsc16,E2,pseudotime_smoothness,reference,0.79423408741187773,0.79152091289108339,0.0027131745207943001,1,1,1,immune_cell_human,immune_cell_human,computed,9,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,unpaired_na: lhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune); rhs: all_na (not_applicable: Original pseudotime smoothness protocol applies only to Immune)
sclsc30_minus_sclsc16,E2,trajectory,joint,0.43492900535909934,0.52386759929046156,-0.088938593931362275,1,1,1,immune_cell_human,immune_cell_human,computed,9,3,2,0.66666666666666663,15,15,13,14,10,10,immune_cell_human/Oetjen_A|immune_cell_human/Villani,"unpaired_na: lhs: all_na (not_applicable: The original AnnData has no obs['dpt_pseudotime'] column.); rhs: all_na (not_applicable: The original AnnData has no obs['dpt_pseudotime'] column.); unpaired_na: lhs: partial_seeds (computed: Computed by the locked scIB paper backend.; not_applicable: Official scIB 0.2.0 trajectory_conservation is undefined: its canonical start cluster has no cell in the largest connected component, so no root cell can be selected.); rhs: partial_seeds (computed: Computed by the locked scIB paper backend.; not_applicable: Official scIB 0.2.0 trajectory_conservation is undefined: its canonical start cluster has no cell in the largest connected component, so no root cell can be selected.)"
sclsc30_minus_sclsc16,E2,trustworthiness,joint,0.90367049820608636,0.902682671289325,0.00098782691676119194,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,9,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,unpaired_na: lhs: all_na (not_applicable: Protocol restricts cached-source trustworthiness to Immune and Lung); rhs: all_na (not_applicable: Protocol restricts cached-source trustworthiness to Immune and Lung)
sclsc30_minus_sclsc16,E2,trustworthiness,query,0.90311788793248016,0.90253836960033018,0.00057951833214999382,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,9,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,unpaired_na: lhs: all_na (not_applicable: Protocol restricts cached-source trustworthiness to Immune and Lung); rhs: all_na (not_applicable: Protocol restricts cached-source trustworthiness to Immune and Lung)
sclsc30_minus_sclsc16,E2,trustworthiness,reference,0.89788630521939039,0.89683415041610126,0.0010521548032891292,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,9,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,unpaired_na: lhs: all_na (not_applicable: Protocol restricts cached-source trustworthiness to Immune and Lung); rhs: all_na (not_applicable: Protocol restricts cached-source trustworthiness to Immune and Lung)
sclsc30_minus_sclsc16,E2,within_label_silhouette__donor,joint,-0.23205896505359244,-0.24605586109964225,0.013996896046049803,1,1,1,lung_atlas,lung_atlas,computed,9,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,unpaired_na: lhs: all_na (not_applicable: Historical donor panel is defined only for lung_atlas); rhs: all_na (not_applicable: Historical donor panel is defined only for lung_atlas)
sclsc30_minus_sclsc16,E2,within_label_silhouette__donor,query,NA,NA,NA,1,0,0,lung_atlas,,all_na,9,3,0,0,15,15,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Historical donor panel is defined only for lung_atlas); rhs: all_na (not_applicable: Historical donor panel is defined only for lung_atlas); unpaired_na: lhs: all_na (not_applicable: No cell type has at least 10 cells and a mathematically valid multi-group silhouette); rhs: all_na (not_applicable: No cell type has at least 10 cells and a mathematically valid multi-group silhouette)
sclsc30_minus_sclsc16,E2,within_label_silhouette__donor,reference,-0.21997419211641853,-0.23328634745758459,0.013312155341166041,1,1,1,lung_atlas,lung_atlas,computed,9,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,unpaired_na: lhs: all_na (not_applicable: Historical donor panel is defined only for lung_atlas); rhs: all_na (not_applicable: Historical donor panel is defined only for lung_atlas)
sclsc30_minus_sclsc16,E2,within_label_silhouette__patientGroup,joint,0.23143882259103588,0.23437127741392585,-0.002932454822889998,1,1,1,lung_atlas,lung_atlas,computed,9,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,unpaired_na: lhs: all_na (not_applicable: Historical patientGroup panel is defined only for lung_atlas); rhs: all_na (not_applicable: Historical patientGroup panel is defined only for lung_atlas)
sclsc30_minus_sclsc16,E2,within_label_silhouette__patientGroup,query,NA,NA,NA,1,0,0,lung_atlas,,all_na,9,3,0,0,15,15,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: Historical patientGroup panel is defined only for lung_atlas); rhs: all_na (not_applicable: Historical patientGroup panel is defined only for lung_atlas); unpaired_na: lhs: all_na (not_applicable: No cell type has at least 10 cells and a mathematically valid multi-group silhouette); rhs: all_na (not_applicable: No cell type has at least 10 cells and a mathematically valid multi-group silhouette)
