comparison,table,dataset_id,heldout_batch,metric,population,lhs_method,lhs_dimension,rhs_method,rhs_dimension,lhs_mean,lhs_sd,rhs_mean,rhs_sd,difference,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,valid_batch,status,reason
repeated_minus_none128,E3,lung_atlas,B1,cell_cycle_conservation,joint,solar_orthogonal,128,solar_none,128,0.71668423451509933,0.013150322258940092,0.72778224519693402,0.0073801985636571662,-0.011098010681834691,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,fluidigmc1,cell_cycle_conservation,joint,solar_orthogonal,128,solar_none,128,0.33081008318288702,0.0032182006948478577,0.32837464966039021,0.0081953442486334509,0.0024354335224968104,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop2,cell_cycle_conservation,joint,solar_orthogonal,128,solar_none,128,0.31826190511003011,0.0021877445132038901,0.3370042744488414,0.0084606856242141083,-0.018742369338811293,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop3,cell_cycle_conservation,joint,solar_orthogonal,128,solar_none,128,0.30284932230108097,0.0074874720242374742,0.32191148782285689,0.0070429366055944857,-0.01906216552177592,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,10X,graph_conn,joint,solar_orthogonal,128,solar_none,128,0.99051433336809469,0.00067354893537819249,0.99080253338362323,0.00055644501794135969,-0.00028820001552853913,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Oetjen_A,graph_conn,joint,solar_orthogonal,128,solar_none,128,0.98970884970266049,0.00039702820960767492,0.99226080794130167,0.001289062912467769,-0.0025519582386411832,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,Villani,graph_conn,joint,solar_orthogonal,128,solar_none,128,0.97995881794981066,0.015104624288667047,0.97353793280090117,0.015568023060974604,0.0064208851489094831,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,3,graph_conn,joint,solar_orthogonal,128,solar_none,128,0.80292623254624973,0.075873373431069022,0.7443071222023917,0.086337917900605077,0.058619110343858027,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,4,graph_conn,joint,solar_orthogonal,128,solar_none,128,0.79065268201658867,0.066006224813693296,0.78937829833071782,0.067561346297267594,0.0012743836858708502,5,5,5,5,True,computed,
repeated_minus_none128,E3,lung_atlas,B1,graph_conn,joint,solar_orthogonal,128,solar_none,128,0.73433590756720435,0.066681762804652683,0.75614086871133546,0.071514507035952093,-0.021804961144131108,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,fluidigmc1,graph_conn,joint,solar_orthogonal,128,solar_none,128,0.88557392765770526,0.041209122130965885,0.86904720369712218,0.046791258055780154,0.016526723960583078,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop2,graph_conn,joint,solar_orthogonal,128,solar_none,128,0.87739553436888984,0.044136827397238523,0.902185729269395,0.059177445195258839,-0.024790194900505158,5,5,5,5,True,computed,
repeated_minus_none128,E3,pancreas,inDrop3,graph_conn,joint,solar_orthogonal,128,solar_none,128,0.89388193867452781,0.042296593284214409,0.93497690520141297,0.032129260760065906,-0.041094966526885157,5,5,5,5,True,computed,
repeated_minus_none128,E3,immune_cell_human,10X,hvg_overlap,joint,solar_orthogonal,128,solar_none,128,NA,NA,NA,NA,NA,5,5,0,0,False,unpaired_na,lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.)
repeated_minus_none128,E3,immune_cell_human,Oetjen_A,hvg_overlap,joint,solar_orthogonal,128,solar_none,128,NA,NA,NA,NA,NA,5,5,0,0,False,unpaired_na,lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.)
repeated_minus_none128,E3,immune_cell_human,Villani,hvg_overlap,joint,solar_orthogonal,128,solar_none,128,NA,NA,NA,NA,NA,5,5,0,0,False,unpaired_na,lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.)
repeated_minus_none128,E3,lung_atlas,3,hvg_overlap,joint,solar_orthogonal,128,solar_none,128,NA,NA,NA,NA,NA,5,5,0,0,False,unpaired_na,lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.)
repeated_minus_none128,E3,lung_atlas,4,hvg_overlap,joint,solar_orthogonal,128,solar_none,128,NA,NA,NA,NA,NA,5,5,0,0,False,unpaired_na,lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.)
repeated_minus_none128,E3,lung_atlas,B1,hvg_overlap,joint,solar_orthogonal,128,solar_none,128,NA,NA,NA,NA,NA,5,5,0,0,False,unpaired_na,lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.)
repeated_minus_none128,E3,pancreas,fluidigmc1,hvg_overlap,joint,solar_orthogonal,128,solar_none,128,NA,NA,NA,NA,NA,5,5,0,0,False,unpaired_na,lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.)
repeated_minus_none128,E3,pancreas,inDrop2,hvg_overlap,joint,solar_orthogonal,128,solar_none,128,NA,NA,NA,NA,NA,5,5,0,0,False,unpaired_na,lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.)
repeated_minus_none128,E3,pancreas,inDrop3,hvg_overlap,joint,solar_orthogonal,128,solar_none,128,NA,NA,NA,NA,NA,5,5,0,0,False,unpaired_na,lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.)
