comparison,table,metric,population,lhs_mean,rhs_mean,difference,n_datasets_expected,n_datasets_valid,dataset_coverage,included_datasets,valid_datasets,status,n_batches_total,n_batches_expected,n_batches_valid,batch_coverage,n_lhs_seeds_expected,n_rhs_seeds_expected,n_lhs_seeds_finite,n_rhs_seeds_finite,n_lhs_seeds_paired,n_rhs_seeds_paired,valid_batches,reason,excluded_dataset
repeated_minus_none128,E3,cLISI,joint,0.99999999999999978,0.99999999999999978,0,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,cLISI,joint,0.99999999999999967,0.99999999999999967,-1.8503717077085941e-17,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,cell_cycle_conservation,joint,0.52148015107156465,0.53250989958862216,-0.011029748517057561,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
repeated_minus_none128,E3,cell_cycle_conservation,joint,0.44525504920926073,0.48773125245844162,-0.042476203249180951,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,cell_cycle_conservation,joint,0.64942809674949264,0.69114434806970104,-0.041716251320208377,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,graph_conn,joint,0.830794370471861,0.8326726879020625,-0.0018783174302015784,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
repeated_minus_none128,E3,graph_conn,joint,0.93617223362028146,0.94380185204895928,-0.0076296184286779129,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,graph_conn,joint,0.88134947052510149,0.8744045938950451,0.0069448766300562554,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,hvg_overlap,joint,NA,NA,NA,2,0,0,lung_atlas|pancreas,,all_na,6,6,0,0,30,30,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.),immune_cell_human
repeated_minus_none128,E3,hvg_overlap,joint,NA,NA,NA,2,0,0,immune_cell_human|pancreas,,all_na,6,6,0,0,30,30,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.),lung_atlas
repeated_minus_none128,E3,hvg_overlap,joint,NA,NA,NA,2,0,0,immune_cell_human|lung_atlas,,all_na,6,6,0,0,30,30,0,0,0,0,,unpaired_na: lhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.); rhs: all_na (not_applicable: The official scIB pipeline disables HVG overlap for embedding outputs.),pancreas
repeated_minus_none128,E3,iLISI,joint,1.20388441396088,0.77168071582863629,0.43220369813224352,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
repeated_minus_none128,E3,iLISI,joint,1.3667253681529195,0.91780080722444402,0.44892456092847532,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,iLISI,joint,1.232120687257054,0.97172085190378665,0.26039983535326727,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,isolated_label_F1,joint,0.57393103930340905,0.58259458009433107,-0.008663540790922122,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
repeated_minus_none128,E3,isolated_label_F1,joint,0.55988478488922133,0.57896589793989195,-0.019081113050670777,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,isolated_label_F1,joint,0.90889716418827249,0.91802104383657201,-0.0091238796482995821,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,isolated_label_silhouette,joint,0.50474461804454529,0.50474461804454529,0,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
repeated_minus_none128,E3,isolated_label_silhouette,joint,0.49452054252227151,0.49452054252227151,0,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,isolated_label_silhouette,joint,0.50332301063463092,0.50332301063463092,0,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,kBET,joint,0.0084281090636281544,0.0088274506048923156,-0.0003993415412641625,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
repeated_minus_none128,E3,kBET,joint,0.018558266719764183,0.019201953011623165,-0.00064368629185898368,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,kBET,joint,0.021091073315570898,0.022498438796338067,-0.0014073654807671726,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,labelASW,joint,0.88228489160537726,0.85638214250405631,0.025902749101320899,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
repeated_minus_none128,E3,labelASW,joint,0.87835612992445633,0.8536402920881907,0.024715837836265537,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,labelASW,joint,0.84629391928513853,0.8236992905537287,0.022594628731409716,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,macro_f1,query,0.83555531175677,0.83093607568482053,0.0046192360719494729,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
repeated_minus_none128,E3,macro_f1,query,0.80003845821689479,0.79122814709042943,0.008810311126465336,2,2,1,immune_cell_human|pancreas,immune_cell_human|pancreas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,lung_atlas
repeated_minus_none128,E3,macro_f1,query,0.8038961428887319,0.79686330235355518,0.0070328405351768137,2,2,1,immune_cell_human|lung_atlas,immune_cell_human|lung_atlas,computed,6,6,6,1,30,30,30,30,30,30,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani|lung_atlas/3|lung_atlas/4|lung_atlas/B1,,pancreas
repeated_minus_none128,E3,trustworthiness,joint,0.94677229193389467,0.9559870511033034,-0.0092147591694087625,1,1,1,lung_atlas,lung_atlas,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,,immune_cell_human
repeated_minus_none128,E3,trustworthiness,joint,0.91825133629530475,0.9386068766072414,-0.020355540311936499,1,1,1,immune_cell_human,immune_cell_human,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,,lung_atlas
repeated_minus_none128,E3,trustworthiness,query,0.93348290722864891,0.94178598142698744,-0.0083030741983384591,1,1,1,lung_atlas,lung_atlas,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,,immune_cell_human
repeated_minus_none128,E3,trustworthiness,query,0.94760155464416362,0.95044367124288665,-0.0028421165987230954,1,1,1,immune_cell_human,immune_cell_human,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,,lung_atlas
repeated_minus_none128,E3,trustworthiness,reference,0.94483052119544675,0.95491838789433559,-0.010087866698889022,1,1,1,lung_atlas,lung_atlas,computed,3,3,3,1,15,15,15,15,15,15,lung_atlas/3|lung_atlas/4|lung_atlas/B1,,immune_cell_human
repeated_minus_none128,E3,trustworthiness,reference,0.91122127501099881,0.93180653319205098,-0.020585258181052057,1,1,1,immune_cell_human,immune_cell_human,computed,3,3,3,1,15,15,15,15,15,15,immune_cell_human/10X|immune_cell_human/Oetjen_A|immune_cell_human/Villani,,lung_atlas
repeated_minus_unique128,E3,ARI_cluster/label,joint,0.42100967476917478,0.40560631011092352,0.015403364658251307,2,2,1,lung_atlas|pancreas,lung_atlas|pancreas,computed,6,6,6,1,30,30,30,30,30,30,lung_atlas/3|lung_atlas/4|lung_atlas/B1|pancreas/fluidigmc1|pancreas/inDrop2|pancreas/inDrop3,,immune_cell_human
