method,dimension,dataset_id,heldout_batch,metric,population,mean,sd,sd_status,n_seeds_expected,n_seeds_present,n_seeds_finite,n_seeds_comparable,numeric_seed_coverage,seed_coverage,source_statuses,status,reason,run_ids,block
frozen_reference_scanvi,30,lung_atlas,3,NMI_cluster/label,joint,0.81377780297160007,0.0088908954857661593,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__lung_atlas__3__s40|historical__frozen_reference_scanvi__d30__lung_atlas__3__s41|historical__frozen_reference_scanvi__d30__lung_atlas__3__s42|historical__frozen_reference_scanvi__d30__lung_atlas__3__s43|historical__frozen_reference_scanvi__d30__lung_atlas__3__s44,common30
frozen_reference_scanvi,30,lung_atlas,4,NMI_cluster/label,joint,0.80726780006342191,0.0027400973608578232,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__lung_atlas__4__s40|historical__frozen_reference_scanvi__d30__lung_atlas__4__s41|historical__frozen_reference_scanvi__d30__lung_atlas__4__s42|historical__frozen_reference_scanvi__d30__lung_atlas__4__s43|historical__frozen_reference_scanvi__d30__lung_atlas__4__s44,common30
frozen_reference_scanvi,30,lung_atlas,B1,NMI_cluster/label,joint,0.81050458973937722,0.0061181362543963978,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__lung_atlas__B1__s40|historical__frozen_reference_scanvi__d30__lung_atlas__B1__s41|historical__frozen_reference_scanvi__d30__lung_atlas__B1__s42|historical__frozen_reference_scanvi__d30__lung_atlas__B1__s43|historical__frozen_reference_scanvi__d30__lung_atlas__B1__s44,common30
frozen_reference_scanvi,30,pancreas,fluidigmc1,NMI_cluster/label,joint,0.70606206293742857,0.0099698553168598332,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s40|historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s41|historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s42|historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s43|historical__frozen_reference_scanvi__d30__pancreas__fluidigmc1__s44,common30
frozen_reference_scanvi,30,pancreas,inDrop2,NMI_cluster/label,joint,0.70598679972007372,0.0061485671233845168,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s40|historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s41|historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s42|historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s43|historical__frozen_reference_scanvi__d30__pancreas__inDrop2__s44,common30
frozen_reference_scanvi,30,pancreas,inDrop3,NMI_cluster/label,joint,0.70424409644486907,0.0048318557989689192,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s40|historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s41|historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s42|historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s43|historical__frozen_reference_scanvi__d30__pancreas__inDrop3__s44,common30
frozen_reference_scanvi,30,immune_cell_human,10X,PCR_batch,joint,0.73953622254850404,0.045691051276384023,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s40|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s41|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s42|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s43|historical__frozen_reference_scanvi__d30__immune_cell_human__10X__s44,common30
frozen_reference_scanvi,30,immune_cell_human,Oetjen_A,PCR_batch,joint,0.77034684142447196,0.030353262620027816,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s40|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s41|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s42|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s43|historical__frozen_reference_scanvi__d30__immune_cell_human__Oetjen_A__s44,common30
frozen_reference_scanvi,30,immune_cell_human,Villani,PCR_batch,joint,0.77116847147697709,0.011020549276247045,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s40|historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s41|historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s42|historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s43|historical__frozen_reference_scanvi__d30__immune_cell_human__Villani__s44,common30
frozen_reference_scanvi,30,lung_atlas,3,PCR_batch,joint,0.8433720821030557,0.012583799773631792,computed,5,5,5,5,1,1,computed,computed,computed: Computed by the locked scIB paper backend.,historical__frozen_reference_scanvi__d30__lung_atlas__3__s40|historical__frozen_reference_scanvi__d30__lung_atlas__3__s41|historical__frozen_reference_scanvi__d30__lung_atlas__3__s42|historical__frozen_reference_scanvi__d30__lung_atlas__3__s43|historical__frozen_reference_scanvi__d30__lung_atlas__3__s44,common30
